timestamp,position.x,position.y,position.z,velocity.x,velocity.y,velocity.z,attitude.x,attitude.y,attitude.z,motor_speed.0,motor_speed.1,motor_speed.2,motor_speed.3
0,-6.5,-18.5,-2.0,0.0,0.0,0.0,0.0,0.0,-1.5707963267948966,1133.1510991975279,1133.1510991975279,1133.1510991975279,1133.1510991975279
10000000,-6.499977072076549,-18.50000566005025,-1.9999905001947693,0.002895819444286215,-0.0014443563303897708,0.0006920492473428569,-4.1180303509619695e-05,-0.00015784227012813337,-1.5687634654602756,1092.3402876151717,1149.907608863909,1121.3557679646046,1169.7588747250497
20000000,-6.499907548161789,-18.5000149016605,-1.999989264572939,0.009623957279579909,-0.002329435636091792,-0.0005175025696071424,-0.00024042364797477933,-0.0013943973727045711,-1.5612258617336723,993.2198348834507,1191.0097468279516,1094.6203769836166,1257.828017575852
30000000,-6.499804373747897,-18.50003076349421,-1.999999933598166,0.011131168900999676,-0.0011622554189474094,-0.003798484177639466,-0.0005908348055951248,-0.003995039344119929,-1.5494607590719276,932.6714205806364,1216.5278564797454,1079.3152476346543,1315.3515147899182
40000000,-6.4996616300529,-18.500047489312795,-2.00004032306137,0.015686786908145966,-0.0003120090378357258,-0.0029461430458718285,-0.0011203319159138198,-0.008749175630732655,-1.5312642808266403,915.2202060240805,1223.8305835691904,1074.8248916389769,1343.1638429688621
50000000,-6.499532875547745,-18.500057461367987,-2.0000831301659714,0.01318108037984199,-0.0013728957917670181,-0.005972649917166577,-0.001689648477174441,-0.01473295649951893,-1.5105459008833753,921.8355112560048,1222.2887730115428,1075.8681744297808,1349.1242631603263
60000000,-6.499398621427679,-18.500088891902884,-2.000177066743316,0.013002891273508526,-0.005423460968382472,-0.01243528598978492,-0.0024317418548284882,-0.023200257782459818,-1.4830744702612908,937.2257178559883,1218.302597981118,1078.1003882897257,1346.6295096922918
70000000,-6.499242124021276,-18.50015826284097,-2.0003264334740902,0.014650952861216503,-0.007684444516972231,-0.013539022893749088,-0.0033273965313783643,-0.033457837661927586,-1.4514596962289203,952.4448479371537,1212.2180162428087,1084.0872012059717,1339.4066863368273
80000000,-6.499089381889705,-18.500240559209516,-2.000482560757174,0.017634101868913156,-0.008929707844659606,-0.021670193917274334,-0.004451934009274046,-0.04401369101070287,-1.419757276186282,965.0052819296212,1206.985611408719,1089.418329867951,1331.4261921857544
90000000,-6.498884445894778,-18.500348600652394,-2.0007240801776427,0.018856128701159488,-0.012804988768534564,-0.025724747071932466,-0.005991097592073846,-0.057026698867908766,-1.3811436317565633,980.2349296307591,1203.0668162746801,1090.024882904325,1322.6777686103815
99999999,-6.498692897942253,-18.500501896361236,-2.0010092235449917,0.019166549384243534,-0.017358109348143077,-0.02827525400869243,-0.007863600516183938,-0.07123447543674516,-1.3392437223959954,994.8953446720751,1199.844182271132,1087.296037235415,1315.047319371259
109999999,-6.498504641299144,-18.50071313155507,-2.0012921865716256,0.020393270504116302,-0.026111968685899243,-0.032586971646028196,-0.009826711668645318,-0.08490237925293094,-1.2989971124471298,1008.7253503659281,1195.6063419605337,1084.07154234823,1309.0690021238495
119999999,-6.498264427944573,-18.501014062646128,-2.0016450989785817,0.024537559826611054,-0.03338240140285803,-0.035294476491683595,-0.012280245059861094,-0.10078709394266046,-1.2517808833940451,1024.0349947422496,1188.832476710196,1081.643747103927,1303.073544810778
129999999,-6.498000018229705,-18.501365900933365,-2.001986327419892,0.03069369473906037,-0.0416053788576051,-0.03655077397174333,-0.01456076761316235,-0.11564692393329312,-1.2073245931904089,1036.5475231222601,1181.5234827292954,1081.3801106359394,1297.9405082613378
140000000,-6.497632495520693,-18.501855057333348,-2.0023710855419585,0.0397954802655756,-0.05446393565626922,-0.038560803585356705,-0.01729927503089122,-0.13245725769125855,-1.1560569154291718,1049.0783631849642,1176.589244013789,1081.4737576910595,1290.1198008147885
150000000,-6.4972076121057905,-18.502497969532875,-2.002786391344044,0.04171585617202798,-0.06969025439095825,-0.03967570254235373,-0.020261370387450132,-0.14955089055920878,-1.1029196733363642,1060.2247897957604,1173.3669834204632,1079.4357627625689,1283.8147092641625
160000000,-6.496796916365652,-18.503227430276766,-2.003160249089965,0.04767130187267562,-0.08506092460945679,-0.04032661098857853,-0.02312036081055226,-0.1649565372946409,-1.0535912026313508,1068.5009904915653,1171.4576527834918,1075.906682431088,1280.225902924
170000000,-6.496246602587664,-18.504201738372032,-2.0035690060350393,0.0576088559639044,-0.1031847286425122,-0.04063087072380907,-0.02653013270721259,-0.1819734874420933,-0.9971551975549033,1076.3375939049379,1170.5895903545031,1071.5329638246503,1276.7717135893972
180000000,-6.495665390281371,-18.505248791842835,-2.0039625702415838,0.06592750099874232,-0.12215852852984395,-0.040956149549431345,-0.029748159279741934,-0.1971220797567099,-0.9450573997221879,1084.570639127296,1168.6411812022213,1066.6080669612618,1274.7472203529514
190000000,-6.494908328182197,-18.506609259245156,-2.0043853707277317,0.07791460793946828,-0.13968291956335246,-0.041350684503693766,-0.03348888382446613,-0.21358913675485233,-0.8859837384074551,1094.2496837263309,1165.7572690704098,1063.099411416255,1271.2543073069028
200000000,-6.494004668285959,-18.508154903669812,-2.004832502643663,0.09615746214647251,-0.15875380483904847,-0.046059722945175276,-0.037410442259757135,-0.22946422164374003,-0.8257430875589763,1101.306633838007,1163.3981668508368,1061.4877994682015,1268.1288706127048
210000000,-6.493037039276585,-18.50973336456652,-2.005252019817244,0.10863822338661214,-0.17885134362475616,-0.044345335460571546,-0.04091901884719568,-0.24310697579331028,-0.7705403683349294,1108.1627604304888,1163.325271257671,1057.0234982813352,1265.1970591676768
220000000,-6.491827016649313,-18.51167414937764,-2.0057068275005383,0.12476221006819424,-0.1948008091217026,-0.042614843474700924,-0.04468491846285935,-0.2572956913114562,-0.708446875756394,1122.213455384882,1160.9825806743984,1052.6016767566227,1257.534856170511
230000000,-6.490577661853207,-18.51356882549651,-2.0061078992994785,0.1412286308072223,-0.21141051239517936,-0.04258266331422034,-0.04771570426879681,-0.2692615882574449,-0.6522930554248202,1135.6265321879555,1156.3586969774428,1055.4018811109904,1247.0140642188398
240000000,-6.4889961249643795,-18.51586619103918,-2.0065348909659853,0.16302353457825208,-0.23067065309476664,-0.04036820592028237,-0.05068944349420088,-0.2816612457190574,-0.5900325441196385,1149.682232159436,1150.51002115624,1062.5210809970424,1233.552322286321
250000000,-6.487169212218588,-18.518376834854518,-2.00694437840234,0.18769017667156243,-0.25199409086211466,-0.03770415816558098,-0.05312746357543397,-0.29289929163907813,-0.5283589106663189,1164.231863070887,1143.0755596669717,1072.315812799237,1218.7128197753882
260000000,-6.485300467327225,-18.520829045325335,-2.0073144068506843,0.209613343452159,-0.26934779726407243,-0.03880855402246343,-0.05462184483704134,-0.3019695853029917,-0.47379696159807505,1174.9665641453867,1137.88966849231,1083.4780335126097,1204.2811968430483
270000000,-6.482983862420307,-18.523765103542775,-2.0077110184920643,0.23616487921017024,-0.2928164909859963,-0.03627372220631551,-0.05552065470831797,-0.3111627250340293,-0.4145795664649717,1186.6965738286904,1130.5981027949367,1097.2833879393163,1188.3365778626367
280000000,-6.480672021571575,-18.5265875385,-2.0080481001713792,0.25705618592091883,-0.3096203061101529,-0.033505421565068264,-0.05557470561734341,-0.31862138898644565,-0.3628047296009254,1197.3950782373784,1123.6090303592594,1108.8506289450556,1174.7132041727202
290000000,-6.477836837251179,-18.529882049065964,-2.008369361348215,0.2863914569812922,-0.32394537305035487,-0.030188047869828632,-0.054741155249562516,-0.32597659417713976,-0.3072290937073761,1206.8771741528058,1119.1890611694694,1119.2751210971473,1161.4029527000441
300000000,-6.474680359692799,-18.533335572820665,-2.008701123560208,0.3205284472852997,-0.3379199278360612,-0.03184293763154337,-0.05292878133048075,-0.3323048801367869,-0.2540263043187244,1216.9733886050167,1116.7420895026946,1126.9511768021307,1148.3191611880486
310000000,-6.471539505261138,-18.536547753097118,-2.008987379928451,0.3511942496776778,-0.34739237351517144,-0.027845306185372776,-0.050388322611443416,-0.3371727608755412,-0.2083687666822985,1226.9139014273917,1113.3270160801553,1133.6748105479721,1136.5979426216345
320000000,-6.467720182290634,-18.540209568145826,-2.009245101927726,0.3850262270070948,-0.35614273904663973,-0.022485103514463867,-0.04649284363749672,-0.3416456438708223,-0.16016899746970586,1234.630633805597,1108.7985403844332,1141.7878272997798,1126.880672956752
330000000,-6.463964872882533,-18.543583506419733,-2.0094365645122623,0.41595328303354606,-0.36355370194262804,-0.020244629388398258,-0.042086001340819974,-0.34486367291541625,-0.11909698409993201,1236.6986254106146,1108.230829580499,1150.57532044924,1118.776041922211
340000000,-6.459446574479697,-18.547374572650334,-2.009652783422375,0.4528838792607048,-0.3641531476320661,-0.019611183235506785,-0.0363813196631684,-0.3476413431699535,-0.07615877337219926,1234.889222765933,1110.808433822739,1163.7922359780368,1107.8390191034546
